"< Measurement Data Text Output >"
""
"Date/Time"	"@date()"	"ch.1"	"ch.2"	"ch.3"	"ch.4"	"ch.5"	"ch.6"	"ch.7"	"ch.8"
""	""	"ßC"	"%RH"	"hPa"	""	""	""	""	""
"2014/07/11 16:20'25"	"41831.6808449074"	"  23.0000"	"  53.0000"	"  983.7000"	""	""	""	""	""	
"2014/07/11 16:20'45"	"41831.6810763889"	"  23.0000"	"  53.0000"	"  983.6000"	""	""	""	""	""	
"2014/07/11 16:21'05"	"41831.6813078704"	"  23.0000"	"  53.0000"	"  983.7000"	""	""	""	""	""	
"2014/07/11 16:21'25"	"41831.6815393519"	"  23.0000"	"  53.0000"	"  983.7000"	""	""	""	""	""	
"2014/07/11 16:21'45"	"41831.6817708333"	"  23.0000"	"  53.0000"	"  983.8000"	""	""	""	""	""	
"2014/07/11 16:22'05"	"41831.6820023148"	"  23.0000"	"  53.0000"	"  983.8000"	""	""	""	""	""	
"2014/07/11 16:22'25"	"41831.6822337963"	"  22.9000"	"  53.0000"	"  983.8000"	""	""	""	""	""	
"2014/07/11 16:22'45"	"41831.6824652778"	"  22.9000"	"  53.0000"	"  983.8000"	""	""	""	""	""	
"2014/07/11 16:23'05"	"41831.6826967593"	"  22.9000"	"  53.0000"	"  983.7000"	""	""	""	""	""	
"2014/07/11 16:23'25"	"41831.6829282407"	"  22.9000"	"  53.0000"	"  983.7000"	""	""	""	""	""	
"2014/07/11 16:23'45"	"41831.6831597222"	"  22.9000"	"  53.0000"	"  983.8000"	""	""	""	""	""	
"2014/07/11 16:24'05"	"41831.6833912037"	"  22.9000"	"  53.0000"	"  983.8000"	""	""	""	""	""	
"2014/07/11 16:24'25"	"41831.6836226852"	"  22.9000"	"  53.0000"	"  983.8000"	""	""	""	""	""	
"2014/07/11 16:24'45"	"41831.6838541667"	"  22.9000"	"  53.0000"	"  983.8000"	""	""	""	""	""	
"2014/07/11 16:25'05"	"41831.6840856481"	"  22.9000"	"  53.0000"	"  983.8000"	""	""	""	""	""	
"2014/07/11 16:25'25"	"41831.6843171296"	"  22.9000"	"  53.0000"	"  983.8000"	""	""	""	""	""	
"2014/07/11 16:25'45"	"41831.6845486111"	"  22.9000"	"  53.0000"	"  983.8000"	""	""	""	""	""	
"2014/07/11 16:26'05"	"41831.6847800926"	"  22.9000"	"  53.0000"	"  983.7000"	""	""	""	""	""	
"2014/07/11 16:26'25"	"41831.6850115741"	"  22.9000"	"  53.0000"	"  983.7000"	""	""	""	""	""	
"2014/07/11 16:26'45"	"41831.6852430556"	"  22.8000"	"  54.0000"	"  983.8000"	""	""	""	""	""	
"2014/07/11 16:27'05"	"41831.6854745370"	"  22.9000"	"  53.0000"	"  983.7000"	""	""	""	""	""	
"2014/07/11 16:27'25"	"41831.6857060185"	"  22.9000"	"  54.0000"	"  983.7000"	""	""	""	""	""	
"2014/07/11 16:27'45"	"41831.6859375000"	"  22.9000"	"  54.0000"	"  983.8000"	""	""	""	""	""	
